[performance_estimation] ,19648,0.914733,0.999215,0.830143,0.758764,0.617031 
[performance_estimation] ,19712,0.914951,0.999339,0.859103,0.785518,0.617578 
[performance_estimation] ,19776,0.915083,0.999246,0.854197,0.781072,0.618107 
[performance_estimation] ,19840,0.915134,0.999702,0.868105,0.794196,0.618675 
[performance_estimation] ,19904,0.915268,0.999785,0.882926,0.807940,0.619284 
[performance_estimation] ,19968,0.915330,0.999884,0.863301,0.790113,0.619831 
[performance_estimation] ,20032,0.915481,0.999810,0.881522,0.806863,0.620429 
[performance_estimation] ,20096,0.915687,0.999692,0.887890,0.812778,0.621041 
[performance_estimation] ,20160,0.915848,0.999845,0.830418,0.760419,0.621484 
[performance_estimation] ,20224,0.915991,0.999674,0.845745,0.774443,0.621968 
[performance_estimation] ,20288,0.916060,0.999196,0.855579,0.783132,0.622476 
[performance_estimation] ,20352,0.916167,0.999663,0.867925,0.794896,0.623018 
[performance_estimation] ,20416,0.916110,0.999221,0.842301,0.771039,0.623482 
[performance_estimation] ,20480,0.916392,0.999656,0.855145,0.783379,0.623982 
[performance_estimation] ,20544,0.916520,0.999448,0.884250,0.809985,0.624562 
[performance_estimation] ,20608,0.916735,0.999189,0.869726,0.796662,0.625096 
[performance_estimation] ,20672,0.916947,0.999918,0.849631,0.779002,0.625573 
[performance_estimation] ,20736,0.917169,0.999676,0.834963,0.765553,0.626005 
[performance_estimation] ,20800,0.917098,0.999390,0.871210,0.798498,0.626535 
[performance_estimation] ,20864,0.917242,0.999097,0.891653,0.817122,0.627120 
[performance_estimation] ,20928,0.917356,0.999542,0.868352,0.796223,0.627637 
[performance_estimation] ,20992,0.917495,0.999163,0.876152,0.803192,0.628172 
[performance_estimation] ,21056,0.917485,0.999213,0.852547,0.781583,0.628639 
[performance_estimation] ,21120,0.917479,0.999243,0.879966,0.806739,0.629178 
[performance_estimation] ,21184,0.917616,0.998883,0.878866,0.805561,0.629711 
[performance_estimation] ,21248,0.917795,0.998220,0.843987,0.773228,0.630143 
[performance_estimation] ,21312,0.917817,0.996931,0.849993,0.777743,0.630587 
[performance_estimation] ,21376,0.917771,0.995911,0.842416,0.769984,0.631004 
[performance_estimation] ,21440,0.918113,0.995591,0.824680,0.753811,0.631371 
[performance_estimation] ,21504,0.918487,0.995499,0.863004,0.789090,0.631840 
[performance_estimation] ,21568,0.918758,0.997209,0.805641,0.738123,0.632155 
[performance_estimation] ,21632,0.919124,0.995663,0.819861,0.750286,0.632505 
[performance_estimation] ,21696,0.919722,0.990272,0.789070,0.718665,0.632759 
[performance_estimation] ,21760,0.920170,0.981444,0.747743,0.675283,0.632884 
[performance_estimation] ,21824,0.920525,0.984433,0.799780,0.724756,0.633153 
[performance_estimation] ,21888,0.920637,0.980152,0.772542,0.697114,0.633341 
[performance_estimation] ,21952,0.920705,0.985397,0.835411,0.757936,0.633704 
[performance_estimation] ,22016,0.920806,0.985869,0.806401,0.732046,0.633990 
[performance_estimation] ,22080,0.921367,0.977214,0.772325,0.695380,0.634168 
[performance_estimation] ,22144,0.922137,0.958230,0.720961,0.637055,0.634176 
[performance_estimation] ,22208,0.923013,0.972513,0.649610,0.583117,0.634029 
[performance_estimation] ,22272,0.923301,0.964924,0.738393,0.657846,0.634097 
[performance_estimation] ,22336,0.924087,0.980723,0.688817,0.624257,0.634069 
[performance_estimation] ,22400,0.924074,0.984359,0.763149,0.694176,0.634241 
[performance_estimation] ,22464,0.924052,0.987311,0.785140,0.716304,0.634475 
[performance_estimation] ,22528,0.923939,0.992882,0.799085,0.733051,0.634755 
